INFO:root:Insertion for Person1, property 84: 0.066046 seconds
INFO:root:Insertion for Person2, property 3: 0.007276 seconds
INFO:root:Insertion for Person3, property 100: 0.006765 seconds
INFO:root:Insertion for Person4, property 31: 0.006644 seconds
INFO:root:Insertion for Person5, property 59: 0.006689 seconds
INFO:root:Insertion for Person6, property 79: 0.006112 seconds
INFO:root:Insertion for Person7, property 42: 0.006657 seconds
INFO:root:Insertion for Person8, property 48: 0.006295 seconds
INFO:root:Insertion for Person9, property 60: 0.007712 seconds
INFO:root:Insertion for Person10, property 47: 0.006510 seconds
INFO:root:Insertion for Person11, property 7: 0.008992 seconds
INFO:root:Insertion for Person12, property 70: 0.006101 seconds
INFO:root:Insertion for Person13, property 39: 0.006333 seconds
INFO:root:Insertion for Person14, property 50: 0.006644 seconds
INFO:root:Insertion for Person15, property 76: 0.006195 seconds
INFO:root:Insertion for Person16, property 35: 0.007174 seconds
INFO:root:Insertion for Person17, property 1: 0.005742 seconds
INFO:root:Insertion for Person18, property 14: 0.006374 seconds
INFO:root:Insertion for Person19, property 92: 0.006062 seconds
INFO:root:Insertion for Person20, property 50: 0.005524 seconds
INFO:root:Insertion for Person21, property 62: 0.006371 seconds
INFO:root:Insertion for Person22, property 20: 0.006998 seconds
INFO:root:Insertion for Person23, property 25: 0.006948 seconds
INFO:root:Insertion for Person24, property 58: 0.005764 seconds
INFO:root:Insertion for Person25, property 30: 0.006694 seconds
INFO:root:Insertion for Person26, property 31: 0.006603 seconds
INFO:root:Insertion for Person27, property 97: 0.005816 seconds
INFO:root:Insertion for Person28, property 94: 0.007761 seconds
INFO:root:Insertion for Person29, property 74: 0.006707 seconds
INFO:root:Insertion for Person30, property 17: 0.006030 seconds
INFO:root:Insertion for Person31, property 2: 0.007449 seconds
INFO:root:Insertion for Person32, property 7: 0.005508 seconds
INFO:root:Insertion for Person33, property 82: 0.005995 seconds
INFO:root:Insertion for Person34, property 46: 0.006839 seconds
INFO:root:Insertion for Person35, property 90: 0.006213 seconds
INFO:root:Insertion for Person36, property 50: 0.006525 seconds
INFO:root:Insertion for Person37, property 18: 0.005912 seconds
INFO:root:Insertion for Person38, property 77: 0.005422 seconds
INFO:root:Insertion for Person39, property 40: 0.006970 seconds
INFO:root:Insertion for Person40, property 27: 0.006140 seconds
